"Pitcher","Team","At","Opp","Dec","K"
"Kevin Gausman","TOR","","TEX","","5"
"Kevin Gausman","TOR","@","NYY","L(0-1)","9"
"Kevin Gausman","TOR","@","BOS","W(1-1)","8"
"Kevin Gausman","TOR","","BOS","","9"
"Kevin Gausman","TOR","","HOU","W(2-1)","10"
"Kevin Gausman","TOR","@","TBR","L(3-2)","8"
"Dylan Cease","CHW","@","DET","W(1-0)","8"
"Dylan Cease","CHW","","TBR","W(2-0)","8"
"Dylan Cease","CHW","@","CLE","L(2-1)","3"
"Dylan Cease","CHW","","KCR","","9"
"Dylan Cease","CHW","","LAA","W(3-1)","11"
"Dylan Cease","CHW","","NYY","","11"
"Merrill Kelly","ARI","","SDP","","7"
"Merrill Kelly","ARI","","HOU","","6"
"Merrill Kelly","ARI","@","WSN","W(1-0)","5"
"Merrill Kelly","ARI","","LAD","L(1-1)","4"
"Merrill Kelly","ARI","@","STL","W(2-1)","4"
"Merrill Kelly","ARI","","MIA","","4"
"Pablo Lopez","MIA","@","SFG","","6"
"Pablo Lopez","MIA","","PHI","W(1-0)","2"
"Pablo Lopez","MIA","@","WSN","W(3-0)","6"
"Pablo Lopez","MIA","","ARI","L(3-1)","7"
"Pablo Lopez","MIA","@","SDP","W(4-1)","5"
"Pablo Lopez","MIA","","MIL","","11"
"Max Fried","ATL","","CIN","L(0-1)","5"
"Max Fried","ATL","","WSN","L(0-2)","4"
"Max Fried","ATL","@","LAD","W(1-2)","8"
"Max Fried","ATL","","CHC","W(2-2)","4"
"Max Fried","ATL","@","NYM","W(3-2)","6"
"Max Fried","ATL","","MIL","W(4-2)","8"
"Max Fried","ATL","","SDP","","6"
"Tylor Megill","NYM","@","WSN","W(1-0)","6"
"Tylor Megill","NYM","@","PHI","W(2-0)","5"
"Tylor Megill","NYM","","SFG","","4"
"Tylor Megill","NYM","@","ARI","W(3-0)","7"
"Tylor Megill","NYM","","PHI","W(4-0)","5"
"Tylor Megill","NYM","","ATL","L(4-1)","9"
"Tylor Megill","NYM","@","WSN","L(4-2)","1"
"Logan Webb","SFG","","MIA","","3"
"Logan Webb","SFG","","SDP","W(1-0)","7"
"Logan Webb","SFG","@","NYM","L(1-1)","1"
"Logan Webb","SFG","@","WSN","W(2-1)","6"
"Logan Webb","SFG","","WSN","W(3-1)","3"
"Logan Webb","SFG","","STL","W(4-1)","7"
"Logan Webb","SFG","@","STL","W(5-1)","1"
"Corbin Burnes","MIL","@","CHC","","4"
"Corbin Burnes","MIL","@","BAL","","8"
"Corbin Burnes","MIL","","CHC","L(1-1)","10"
"Corbin Burnes","MIL","@","ATL","L(1-2)","7"
"Corbin Burnes","MIL","@","MIA","","7"
"Logan Gilbert","SEA","@","MIN","","7"
"Logan Gilbert","SEA","@","CHW","W(1-0)","4"
"Logan Gilbert","SEA","","TEX","W(2-0)","4"
"Logan Gilbert","SEA","","TBR","","6"
"Logan Gilbert","SEA","","PHI","L(4-1)","9"
"Frankie Montas","OAK","@","PHI","L(0-1)","6"
"Frankie Montas","OAK","@","TBR","W(1-1)","6"
"Frankie Montas","OAK","","BAL","W(2-1)","5"
"Frankie Montas","OAK","","TEX","L(2-2)","8"
"Frankie Montas","OAK","","CLE","","6"
"Miles Mikolas","STL","","PIT","","1"
"Miles Mikolas","STL","@","MIL","W(1-0)","7"
"Miles Mikolas","STL","@","MIA","","5"
"Miles Mikolas","STL","","NYM","","5"
"Miles Mikolas","STL","","ARI","L(1-1)","7"
"Miles Mikolas","STL","@","SFG","W(2-1)","3"
"Miles Mikolas","STL","","BAL","W(3-1)","3"
"Tyler Mahle","CIN","@","ATL","W(1-0)","7"
"Tyler Mahle","CIN","","CLE","","4"
"Tyler Mahle","CIN","@","LAD","L(1-1)","5"
"Tyler Mahle","CIN","","STL","L(1-2)","3"
"Tyler Mahle","CIN","","SDP","L(1-3)","5"
"Tyler Mahle","CIN","@","MIL","L(1-4)","2"
"Drew Rasmussen","TBR","","BAL","","3"
"Drew Rasmussen","TBR","@","CHW","L(0-1)","2"
"Drew Rasmussen","TBR","@","CHC","","4"
"Drew Rasmussen","TBR","","SEA","W(1-1)","9"
"Drew Rasmussen","TBR","@","OAK","W(2-1)","3"
"Drew Rasmussen","TBR","@","SEA","W(3-1)","5"
"Drew Rasmussen","TBR","","TOR","","1"
"Shane McClanahan","TBR","","BAL","","7"
"Shane McClanahan","TBR","","OAK","L(0-1)","8"
"Shane McClanahan","TBR","@","CHC","","9"
"Shane McClanahan","TBR","","BOS","W(1-1)","7"
"Shane McClanahan","TBR","","MIN","L(1-2)","11"
"Shane McClanahan","TBR","@","SEA","W(2-2)","5"
"Sean Manaea","SDP","@","ARI","W(1-0)","7"
"Sean Manaea","SDP","@","SFG","L(1-1)","6"
"Sean Manaea","SDP","","CIN","W(2-1)","6"
"Sean Manaea","SDP","","LAD","L(2-2)","5"
"Sean Manaea","SDP","","MIA","L(2-3)","8"
"Kyle Freeland","COL","","LAD","L(0-1)","6"
"Kyle Freeland","COL","","CHC","L(0-2)","1"
"Kyle Freeland","COL","","PHI","","3"
"Kyle Freeland","COL","","CIN","W(1-3)","4"
"Kyle Freeland","COL","@","ARI","","5"
"Kyle Freeland","COL","","KCR","L(1-4)","0"
"Patrick Corbin","WSN","","NYM","L(0-1)","4"
"Patrick Corbin","WSN","@","ATL","L(0-2)","3"
"Patrick Corbin","WSN","@","PIT","","4"
"Patrick Corbin","WSN","","SFG","L(0-3)","4"
"Patrick Corbin","WSN","","MIA","L(0-4)","8"
"Patrick Corbin","WSN","","NYM","","5"
"Patrick Corbin","WSN","","HOU","L(0-6)","5"
"Shane Bieber","CLE","@","KCR","","4"
"Shane Bieber","CLE","@","CIN","","5"
"Shane Bieber","CLE","","CHW","W(1-0)","7"
"Shane Bieber","CLE","","TOR","L(1-2)","0"
"Framber Valdez","HOU","@","LAA","W(1-0)","6"
