"Pos","Team.Klafta","WAR","Team.Starr","WAR","Team.Campbell","WAR","Team.Corsello","WAR","Team.Weintraub","WAR","Team.Wayne","WAR","Team.Blanco","WAR"
"C","Will Smith","0.6","Max Stassi","0.5","Sean Murphy","0.4","JT Realmuto","0.8","Keibert Ruiz","-0.4","Mike Zunino","-0.2","Willson Contreras","0.8"
"C","Yasmani grandal","-0.4","Tyler Stephenson","0.3","Salvador Perez","0.5","Daulton Varsho","0.7","Adley Rutschman","0","Jacob Stallings","-0.3","Carson Kelly","-0.4"
"1B","Rhys Hoskins","0.0","Vladimir Guerrero","0.8","Max Muncy","0.1","Matt Olson","0.7","Paul Goldschmidt","0.1","Spencer Torkelson","0.1","Jose Abreu","-0.1"
"1B","Pete Alonso","0.0","Freddie Freeman","0.8","Yuli Gurriel","-0.1","Anthony Rizzo","1.1","Brandon Belt","0.5","Josh Bell","0.9","Joey Votto","-0.8"
"2B","Tommy Edman","1.8","Javier Baez","0.3","Jorge Polanco","0.4","Jose Altuve","0.1","Ketel Marte","-0.4","Jake Cronenworth","1.0","Marcus Seimen","-0.3"
"2B","Johnathan India","-0.3","Ty France","1.2","Brandon Lowe","-0.1","Jonathan Schoop","-0.2","Ozzie Albies","0.6","Edmundo Sosa","0.0","Whit Merrifield","-0.6"
"3B","Anthony Rendon","0.4","Yoan Moncada","0","Manny Machado","2.2","Rafael Devers","0.6","Nolan Arenado","1.8","Jose Ramirez","1.4","Austin Riley","0.9"
"3B","Alex Bregman","0.5","Jeimer Candelario","-0.5","Ryan McMahon","0.7","Matt Chapman","0.1","Josh Donaldson","0.5","Bobby Witt","0.0","Justin Turner","-0.4"
"SS","Francisco Lindor","1.2","Trevor Story","-0.2","Xander Bogaerts","0.9","Wander Franco","1.2","Carlos Correa","0.4","Bo Bichette","-0.2","Trea Turner","0.3"
"SS","Luis Urias","0","JP Crawford","1.6","Fernando Tatis","0","Gleyber Torres","0.4","Corey Seager","0.7","Brandon Crawford","0.4","Tim Anderson","0.4"
"OF","Juan Soto","1.2","Bryce Harper","0.2","Shohei Ohtani","0.5","Ronald Acuna","0","Mike Trout","1.5","Mookie Betts","0.4","Luis Robert","-0.1"
"OF","Aaron Judge","0.9","Bryan Reynolds","0.3","Kyle Schwarber","0.3","Byron Buxton","1.1","Kyle Tucker","0.7","Tyler O'Neill","-0.2","Kris Bryant","-0.3"
"OF","Yordan Alvarez","0.9","AJ Pollock","-0.1","JD Martinez","0.3","Nick Castellanos","0.4","George Springer","0.9","Cedric Mullins","0.6","Starling Marte","0.2"
"OF","Austin Medows","0.8","Mitch Haniger","0.2","Austin Hays","0.7","Christian Yelich","0.6","Julio Rodriguez","0.4","Kike Hernandez","0.0","Randy Arozarena","-0.1"
"OF","Joey Gallo","-0.2","Adam Duvall","-0.2","Jesse Winker","-0.4","Teoscar Hernandez","0.5","Brandon Nimmo","0.9","Kevin Kiermaier","0.3","Dylan Carlson","-0.5"
"OF","giancarlo stanton","0.1","Robbie Grossman","0.3","Avisail Garcia","0.1","Ryan Mountcastle","0.0","Harrison Bader","0.7","Myles Straw","0.7","Chris Taylor","0.2"
"SP","Aaron Nola","0.5","Shane Bieber","0.7","Shohei Ohtani","0.5","Brandon Woodruff","-0.3","Gerrit Cole","0.5","Walker Buehler","0.5","Max Scherzer","1.0"
"SP","Luis Castillo","0","Lucas Giolito","0.6","Zack Wheeler","-0.2","Kevin Gausman","0.6","Max Fried","0.7","Sandy Alcantara","1.0","Corbin Burnes","0.9"
"SP","Noah Syndergaard","0.6","Lance Lynn","0","Joe Musgrove","0.0","Jacob deGrom","0","Julio Urías","0.1","Logan Webb","0.8","Dylan Cease","0.8"
"SP","German Marquez","0.0","Robbie Ray","-0.1","Frankie Montas","0.0","Nathan Eovaldi","0.9","Charlie Morton","-0.4","Chris Bassitt","0.7","Anthony DeSclafani","-0.2"
"SP","Shane Baz","0","Carlos Rodon","1.2","Freddy Peralta","-0.2","Shane McClanahan","0.2","José Berríos","0.1","Alek Manoah","1.1","Adam Wainwright","0.0"
